station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,station_opening_hours,snapshot_time
20531346153,27,27,"[{'mechanical': 19}, {'ebike': 8}]",5,5,1,1,1,1770729016,10206,,2026-02-10 14:02:35.655191
129001431,8,8,"[{'mechanical': 4}, {'ebike': 4}]",23,23,1,1,1,1770728970,8055,,2026-02-10 14:02:35.655191
653203262,21,21,"[{'mechanical': 9}, {'ebike': 12}]",6,6,1,1,1,1770729064,27002,,2026-02-10 14:02:35.655191
406806401,7,7,"[{'mechanical': 7}, {'ebike': 0}]",21,21,1,1,1,1770729064,21109,,2026-02-10 14:02:35.655191
1063035479,12,12,"[{'mechanical': 11}, {'ebike': 1}]",12,12,1,1,1,1770729000,23701,,2026-02-10 14:02:35.655191
54000595,2,2,"[{'mechanical': 1}, {'ebike': 1}]",52,52,1,1,1,1770728654,17007,,2026-02-10 14:02:35.655191
82571110,20,20,"[{'mechanical': 7}, {'ebike': 13}]",6,6,1,1,1,1770729126,21502,,2026-02-10 14:02:35.655191
217235307,9,9,"[{'mechanical': 8}, {'ebike': 1}]",16,16,1,1,1,1770728796,31012,,2026-02-10 14:02:35.655191
82421994,4,4,"[{'mechanical': 3}, {'ebike': 1}]",31,31,1,1,1,1770728756,12024,,2026-02-10 14:02:35.655191
129086648,20,20,"[{'mechanical': 11}, {'ebike': 9}]",22,22,1,1,1,1770729076,16129,,2026-02-10 14:02:35.655191
217572769,6,6,"[{'mechanical': 4}, {'ebike': 2}]",20,20,1,1,1,1770728715,35019,,2026-02-10 14:02:35.655191
214298601,3,3,"[{'mechanical': 0}, {'ebike': 3}]",20,20,1,1,1,1770729050,14104,,2026-02-10 14:02:35.655191
129125489,3,3,"[{'mechanical': 0}, {'ebike': 3}]",18,18,1,1,1,1770728713,20113,,2026-02-10 14:02:35.655191
26958435,2,2,"[{'mechanical': 0}, {'ebike': 2}]",23,23,1,1,1,1770729031,20119,,2026-02-10 14:02:35.655191
213922790,3,3,"[{'mechanical': 0}, {'ebike': 3}]",46,46,1,1,1,1770729028,31705,,2026-02-10 14:02:35.655191
37936869,32,32,"[{'mechanical': 15}, {'ebike': 17}]",2,2,1,1,1,1770729010,6030,,2026-02-10 14:02:35.655191
19016722230,4,4,"[{'mechanical': 3}, {'ebike': 1}]",19,19,1,1,1,1770729032,23802,,2026-02-10 14:02:35.655191
